Household composition,Total households - household composition
9999,1653792
  01,64257
    100100,630
    100200,774
    100300,60
    100400,465
    100500,390
    100600,390
    100700,765
    100800,1116
    100900,330
    101000,285
    101100,855
    101200,330
    101300,423
    101400,276
    101500,267
    101600,294
    101700,285
    101800,465
    101900,405
    102000,333
    102100,444
    102200,744
    102300,435
    102400,531
    102500,288
    102600,600
    102700,318
    102800,819
    102900,504
    103000,1047
    103100,978
    103200,408
    103300,522
    103400,462
    103500,1287
    103600,222
    103700,393
    103800,339
    103900,561
    104000,168
    104100,441
    104200,267
    104300,495
    104400,255
    104500,432
    104600,426
    104700,249
    104800,627
    104900,858
    105000,15
    105100,999
    105200,516
    105300,588
    105400,1191
    105500,726
    105600,657
    105700,333
    105800,897
    105900,1164
    106000,615
    106100,1044
    106200,1059
    106300,735
    106400,585
    106500,1374
    106600,1389
    106700,459
    106800,1083
    106900,1206
    107000,1095
    107100,375
    107200,813
    107300,975
    107400,579
    107500,840
    107600,468
    107700,444
    107800,879
    107900,36
    108000,540
    108100,633
    108200,912
    108300,888
    108400,3
    108500,918
    108600,738
    108700,843
    108800,960
    108900,570
    109000,1113
    109100,1383
    109200,672
    109300,1812
    109400,948
    109500,687
    109600,450
    109700,747
    109800,819
    109900,849
    110000,0
    110100,387
    258200,3
    258300,0
    258400,0
  02,496458
    110200,522
    110300,0
    110400,1275
    110500,654
    110600,6
    110700,903
    110800,630
    110900,546
    111000,0
    111100,960
    111200,1242
    111300,1125
    111400,393
    111500,783
    111600,792
    111700,1380
    111800,531
    111900,498
    112000,9
    112100,612
    112200,375
    112300,498
    112400,993
    112500,507
    112600,555
    112700,1569
    112800,558
    112900,1371
    113000,1449
    113100,1113
    113200,471
    113300,672
    113400,549
    113500,486
    113600,705
    113700,0
    113800,90
    113900,789
    114000,1533
    114100,666
    114200,426
    114300,63
    114400,1113
    114500,444
    114600,936
    114700,528
    114800,432
    114900,1350
    115000,1110
    115100,1002
    115200,882
    115300,372
    115400,723
    115500,744
    115600,522
    115700,987
    115800,1356
    115900,864
    116000,561
    116100,594
    116200,1041
    116300,297
    116400,525
    116500,414
    116600,639
    116700,1053
    116800,1428
    116900,1101
    117000,1263
    117100,426
    117200,1524
    117300,162
    117400,882
    117500,1092
    117600,1098
    117700,1080
    117800,567
    117900,1299
    118000,657
    118100,1143
    118200,1335
    118300,1146
    118400,1107
    118500,1155
    118600,276
    118700,936
    118800,15
    118900,1101
    119000,960
    119100,912
    119200,399
    119300,0
    119400,600
    119500,822
    119600,564
    119700,642
    119800,1272
    119900,738
    120000,732
    120100,207
    120200,1413
    120300,1371
    120400,1122
    120500,966
    120600,930
    120700,825
    120800,900
    120900,864
    121000,1134
    121100,750
    121200,831
    121300,903
    121400,741
    121500,975
    121600,1095
    121700,402
    121800,1224
    121900,1245
    122000,699
    122100,966
    122200,957
    122300,1065
    122400,1209
    122500,891
    122600,759
    122700,1029
    122800,1299
    122900,1329
    123000,1149
    123100,1026
    123200,1080
    123300,1221
    123400,1224
    123500,45
    123600,1158
    123700,1563
    123800,954
    123900,1116
    124000,1308
    124100,396
    124200,732
    124300,1173
    124400,1557
    124500,1101
    124600,702
    124700,486
    124800,1227
    124900,936
    125000,765
    125100,24
    125200,1641
    125300,945
    125400,1203
    125500,1104
    125600,1110
    125700,750
    125800,1068
    125900,822
    126000,933
    126100,801
    126200,1293
    126300,1134
    126400,1221
    126500,1059
    126600,1872
    126700,1173
    126800,1128
    126900,1281
    127000,1353
    127100,744
    127200,405
    127300,843
    127400,1080
    127500,558
    127600,735
    127700,1074
    127800,519
    127900,930
    128000,447
    128100,756
    128200,1116
    128300,1230
    128400,885
    128500,1146
    128600,558
    128700,3
    128800,1434
    128900,1383
    129000,699
    129100,1449
    129200,1464
    129300,1056
    129400,1038
    129500,843
    129600,1137
    129700,1233
    129800,756
    129900,1569
    130000,717
    130100,1092
    130200,978
    130300,1074
    130400,804
    130500,768
    130600,1209
    130700,1428
    130800,801
    130900,1386
    131000,684
    131100,1149
    131200,1281
    131300,630
    131400,615
    131500,1254
    131600,1035
    131700,1095
    131800,1920
    131900,801
    132000,1431
    132100,1110
    132200,1323
    132300,1044
    132400,981
    132500,1203
    132600,1017
    132700,1230
    132800,1281
    132900,1017
    133000,1275
    133100,966
    133200,981
    133300,1107
    133400,1551
    133500,747
    133600,1320
    133700,1071
    133800,759
    133900,192
    134000,789
    134100,879
    134200,1113
    134300,1074
    134400,1131
    134500,1458
    134600,882
    134700,1041
    134800,63
    134900,1011
    135000,1284
    135100,1407
    135200,726
    135300,1209
    135400,1065
    135500,1011
    135600,909
    135700,450
    135800,903
    135900,531
    136000,1803
    136100,558
    136200,579
    136300,1284
    136400,1626
    136500,1554
    136600,885
    136700,1404
    136800,654
    136900,744
    137000,807
    137100,780
    137200,1170
    137300,645
    137400,1395
    137500,843
    137600,729
    137700,228
    137800,1311
    137900,870
    138000,1188
    138100,1050
    138200,1161
    138300,1260
    138400,1101
    138500,1608
    138600,657
    138700,996
    138800,9
    138900,1356
    139000,996
    139100,612
    139200,1050
    139300,960
    139400,927
    139500,804
    139600,861
    139700,1317
    139800,1323
    139900,1266
    140000,1368
    140100,1023
    140200,1170
    140300,987
    140400,933
    140500,1215
    140600,702
    140700,630
    140800,1206
    140900,1386
    141000,1296
    141100,1677
    141200,504
    141300,984
    141400,0
    141500,768
    141600,996
    141700,777
    141800,1707
    141900,948
    142000,1263
    142100,1068
    142200,1365
    142300,900
    142400,930
    142500,618
    142600,816
    142700,1350
    142800,1680
    142900,696
    143000,1494
    143100,1296
    143200,999
    143300,1122
    143400,1065
    143500,1497
    143600,843
    143700,1020
    143800,1212
    143900,804
    144000,1407
    144100,1305
    144200,51
    144300,1332
    144400,1107
    144500,1035
    144600,606
    144700,1212
    144800,894
    144900,702
    145000,1272
    145100,1470
    145200,879
    145300,1278
    145400,51
    145500,369
    145600,1128
    145700,723
    145800,915
    145900,297
    146000,726
    146100,1152
    146200,1356
    146300,1323
    146400,1023
    146500,795
    146600,885
    146700,72
    146800,1002
    146900,513
    147000,1167
    147100,1185
    147200,1425
    147300,0
    147400,39
    147500,996
    147600,789
    147700,0
    147800,981
    147900,150
    148000,765
    148100,1149
    148200,633
    148300,609
    148400,846
    148500,465
    148600,636
    148700,771
    148800,651
    148900,837
    149000,1410
    149100,690
    149200,1185
    149300,972
    149400,690
    149500,720
    149600,3
    149700,1287
    149800,1008
    149900,1107
    150000,690
    150100,258
    150200,750
    150300,1083
    150400,1317
    150500,834
    150600,1365
    150700,918
    150800,711
    150900,594
    151000,711
    151100,513
    151200,678
    151300,1575
    151400,966
    151500,1059
    151600,765
    151700,435
    151800,846
    151900,1017
    152000,1188
    152100,747
    152200,900
    152300,108
    152400,1317
    152500,549
    152600,378
    152700,0
    152800,789
    152900,780
    153000,462
    153100,873
    153200,354
    153300,864
    153400,1452
    153500,666
    153600,453
    153700,939
    153800,1392
    153900,714
    154000,1320
    154100,900
    154200,1155
    154300,933
    154400,570
    154500,795
    154600,3
    154700,777
    154800,1233
    154900,1545
    155000,1074
    155100,780
    155200,759
    155300,576
    155400,930
    155500,384
    155600,1125
    155700,741
    155800,843
    155900,906
    156000,69
    156100,645
    156200,1122
    156300,813
    156400,972
    156500,1083
    156600,675
    156700,618
    156800,462
    156900,1014
    157000,699
    157100,972
    157200,456
    157300,579
    157400,831
    157500,855
    157600,84
    157700,924
    157800,882
    157900,1014
    158000,762
    158100,1197
    158200,699
    158300,864
    158400,915
    158500,1143
    158600,168
    158700,741
    158800,771
    158900,399
    159000,741
    159100,819
    159200,1014
    159300,1107
    159400,540
    159500,720
    159600,675
    159700,525
    159800,519
    159900,738
    160000,828
    160100,948
    160200,1143
    160300,900
    160400,1059
    160500,813
    160600,1047
    160700,993
    160800,726
    160900,1011
    161000,684
    161100,1290
    161200,573
    161300,834
    161400,936
    161500,726
    161600,660
    161700,12
    161800,804
    161900,747
    162000,720
    162100,1191
    162200,390
    162300,426
    162400,741
    162500,783
    162600,405
    162700,765
    162800,642
    162900,507
    163000,1293
    163100,1032
    163200,1191
    163300,750
    163400,642
    163500,1095
    163600,789
    163700,1113
    163800,765
    163900,825
    164000,903
    164100,51
    164200,792
    164300,360
    164400,960
    164500,873
    164600,927
    164700,471
    164800,609
    164900,348
    165000,480
    165100,663
    165200,444
    165300,1542
    165400,855
    165500,1509
    165600,480
    165700,768
    165800,864
    165900,867
    166000,153
    166100,609
    166200,384
    166300,669
    166400,675
  03,162927
    166500,573
    166600,9
    166700,720
    166800,3
    166900,651
    167000,618
    167100,1653
    167200,717
    167300,189
    167400,474
    167500,207
    167600,930
    167700,471
    167800,1311
    167900,84
    168000,333
    168100,636
    168200,501
    168300,396
    168400,174
    168500,1821
    168600,360
    168700,447
    168800,495
    168900,576
    169000,537
    169100,687
    169200,1713
    169300,834
    169400,687
    169500,573
    169600,963
    169700,1047
    169800,339
    169900,531
    170000,1035
    170100,552
    170200,564
    170300,597
    170400,330
    170500,792
    170600,504
    170700,582
    170800,477
    170900,705
    171000,0
    171100,603
    171200,822
    171300,324
    171400,948
    171500,1659
    171600,1251
    171700,645
    171800,915
    171900,753
    172000,495
    172100,894
    172200,573
    172300,549
    172400,711
    172500,165
    172600,198
    172700,228
    172800,870
    172900,318
    173000,504
    173100,696
    173200,1299
    173300,759
    173400,678
    173500,567
    173600,486
    173700,477
    173800,624
    173900,1848
    174000,1086
    174100,1029
    174200,747
    174300,429
    174400,432
    174500,468
    174600,471
    174700,378
    174800,423
    174900,1326
    175000,1785
    175100,288
    175200,66
    175300,948
    175400,183
    175500,849
    175600,240
    175700,714
    175800,1437
    175900,1446
    176000,825
    176100,1128
    176200,1497
    176300,36
    176400,945
    176500,984
    176600,864
    176700,576
    176800,960
    176900,855
    177000,960
    177100,1209
    177200,1395
    177300,813
    177400,981
    177500,639
    177600,813
    177700,1185
    177800,873
    177900,1476
    178000,1338
    178100,1398
    178200,1410
    178300,1107
    178400,693
    178500,1026
    178600,312
    178700,966
    178800,1122
    178900,231
    179000,90
    179100,942
    179200,189
    179300,1221
    179400,366
    179500,1344
    179600,1257
    179700,1305
    179800,633
    179900,1278
    180000,630
    180100,1029
    180200,1461
    180300,828
    180400,669
    180500,789
    180600,843
    180700,960
    180800,744
    180900,765
    181000,855
    181100,1059
    181200,957
    181300,138
    181400,507
    181500,570
    181600,465
    181700,417
    181800,531
    181900,432
    182000,252
    182100,489
    182200,411
    182300,240
    182400,171
    182500,810
    182600,564
    182700,1017
    182800,1071
    182900,417
    183000,522
    183100,318
    183200,438
    183300,387
    183400,480
    183500,642
    183600,720
    183700,624
    183800,855
    183900,759
    184000,669
    184100,180
    184200,897
    184300,582
    184400,741
    184500,180
    184600,591
    184700,144
    184800,819
    184900,303
    185000,294
    185100,0
    185200,393
    185300,549
    185400,393
    185500,1101
    185600,657
    185700,408
    185800,870
    185900,840
    186000,1626
    186100,543
    186200,678
    186300,294
    186400,729
    186500,732
    186600,804
    186700,372
    186800,1020
    186900,0
    187000,402
    187100,432
    187200,462
    187300,918
    187400,693
    187500,465
    187700,843
    187800,654
    187900,645
    188000,729
    188100,0
    188200,387
    188300,660
    188400,756
    188500,975
    188600,144
    188700,603
    188800,882
    188900,945
    189000,885
    189100,1017
    189200,855
    189300,834
    189400,444
    189500,0
    189600,258
    189700,1224
    197800,54
    201600,639
    201800,609
    258500,3
    258600,0
    258700,0
  04,110919
    189800,60
    190100,123
    190200,1029
    190300,738
    190400,291
    190500,1287
    190600,2034
    190700,0
    190800,78
    190900,1161
    191000,1314
    191100,279
    191200,744
    191300,717
    191400,678
    191500,408
    191600,606
    191700,825
    191800,663
    191900,1047
    192000,876
    192100,1746
    192200,0
    192300,408
    192400,327
    192500,1080
    192600,1131
    192700,0
    192800,1503
    192900,936
    193000,1326
    193100,1284
    193200,1818
    193300,1434
    193400,1083
    193500,1551
    193600,1011
    193700,1089
    193800,1092
    193900,132
    194000,1011
    194100,624
    194200,351
    194300,1104
    194400,777
    194500,60
    194600,1341
    194700,258
    194800,1968
    194900,1224
    195000,189
    195100,1200
    195200,1413
    195300,795
    195400,1656
    195500,987
    195600,456
    195700,261
    195800,1422
    195900,1068
    196000,1227
    196100,201
    196200,1695
    196300,504
    196400,1218
    196500,165
    196600,912
    196700,849
    196800,1068
    196900,1107
    197000,1086
    197100,1449
    197200,963
    197300,1071
    197400,1002
    197500,1137
    197600,1230
    197700,585
    197900,540
    198000,402
    198100,651
    198200,558
    198300,0
    198400,564
    198500,348
    198600,660
    198700,660
    198800,687
    198900,597
    199000,705
    199100,819
    199200,939
    199300,39
    199400,639
    199500,684
    199600,705
    199700,723
    199800,378
    199900,522
    200000,597
    200100,228
    200200,561
    200300,894
    200400,348
    200500,1143
    200600,717
    200700,606
    200800,831
    200900,1011
    201000,462
    201100,102
    201200,693
    201300,288
    201400,1011
    201500,1179
    201700,690
    201900,381
    202000,618
    202100,405
    202200,546
    202300,756
    202400,465
    202500,579
    202600,1080
    202700,1320
    202800,1245
    202900,1050
    203000,546
    203100,432
    203200,1350
    203300,0
    203400,498
    203500,651
    203600,549
    203700,1158
    203800,30
    203900,1314
    204000,0
    204100,603
    204200,579
    204300,396
    204400,1143
    204500,408
    204600,93
    258800,0
    258900,12
  05,16410
    204700,462
    204800,675
    204900,405
    205000,348
    205100,534
    205200,660
    205300,399
    205400,1035
    205500,537
    205600,345
    205700,465
    205800,720
    205900,477
    206000,843
    206100,765
    206200,447
    206300,630
    206400,774
    206500,543
    206600,678
    206700,807
    206800,153
    206900,738
    207000,948
    207100,711
    207200,696
    207300,624
    259200,0
  06,60237
    189900,30
    207400,405
    207500,0
    207600,324
    207700,255
    207800,1548
    207900,456
    208000,708
    208100,468
    208200,480
    208300,915
    208400,429
    208500,225
    208600,267
    208700,492
    208800,654
    208900,51
    209000,768
    209100,723
    209200,753
    209300,93
    209400,987
    209500,660
    209600,771
    209700,954
    209800,846
    209900,1014
    210000,1149
    210100,90
    210200,669
    210300,708
    210400,417
    210500,165
    210600,882
    210700,912
    210800,777
    210900,960
    211000,1041
    211100,957
    211200,402
    211300,747
    211400,480
